Colonne 1,Musée du Louvre,Musée des beaux arts de Dijon,Château de Langeais,Musée Marmottant-Monet,Musée des arts décoratifs 
Nature de l'audioguide et fonctionnalités,"Nintendo 3DS (partenariat hardware avec Nintendo depuis 2012) - intégration d'une carte du musée sur l'écran avec visite libre ou guidée et possibilité de cliquer sur les œuvres ou les salles pour avoir un contenu audio. Sur certaines œuvres, possibilité d'avoir une interaction 3D sur la DS.","Application mobile disponible sur Android et IOS. L'application propose plusieurs parcours et une carte du musée qui indique les zones ou se trouvent les sujets des vocaux. 

Il est important que l'audioguide est accompagné en salle de dispositifs interactifs, des tablettes (voir salle cercueil duc de bourgogne)","Application mobile issue d'une entreprise privée qui en propose plusieurs pour différentes sites. L'application s'appel ""pop guide"" -> même pas le nom du site patrimonial

L'application est complétée sur place par d'autres dispositifs, notamment une salle qui réalise un mini spectacle sur le mariage secret d'un roi de France avec la participation de Stéphane Bern dans le tournage (raccroche les spectateurs avec un élément qu'ils connaissent)","L'audioguide du musée Marmottant est une application mobile développée par l'entreprise privée Myse et qui se concentre essentiellement sur une cohabitation du travail de médiation et du travail d'édition. 

L'application n'est pas un audioguide en soit mais ce qu'on pourrait nommer un ""lecto""guide. L'utilisateur se déplace et scan librement les cartels qu'il souhaite pour obtenir textuellement un bout de médiation. Il peut ensuite l'ajouter ou non dans ses favoris et a, à la fin de la visite, la possibilité de faire un tirage d'un catalogue d'exposition personnalisé. L'édition et la médiation cohabitent singulièrement dans ce dispositif. ","L'audioguide du MAD est disponible uniquement pour la collection permanente qui se situe au 3ème étage. C'est une version que l'on pourrait appelée ""classique"" de l'audioguide : un boitier type talki waklie avec un nuémro distinct par audio.

A noté que l'audioguide est fourni sans casque et que l'on peut écouter les audios en mettant le boitier à l'oreille"
Accessibilité,"Gros effort sur l'accessibilité, l'outil veut toucher le plus de publics différents. Version texte et audio sur les explications, parcours en langue des signes ou audiodescription, 10 langues proposées et parcours spé famille.","L'application est proposée en 3 langues, français, anglais et allemand. L'application propose un parcours famille et 3 parcours adaptés pour l'accessibilité : audiodescription, langue des signes et ""facile à comprendre""",14 langues disponibles mais pas de proposition de changement de langue dans l'app + pas de diversité des parcours ni d'option de texte/audio transcription = accessibilité très moyenne voir mauvaise,"Interface ultra-simplifiée, compréhensible de tous. L'application est disponible en 10 langues et est indiquée 4 ans et plus. Le seul défaut d'accessibilité porte sur les malvoyants, aveugles et illetrés qui ne peuvent pas profiter du dispositif. ","Interface relativement simple. Plusieurs langues disponibles à l'acceuil. 

Cependant, les audios sont trop complexes, il n'y a pas de transcription des audios, il n'y a pas de parcours, deux boutons sur 6 du boitier ne marchent pas. Globalement, l'audioguide du MAD n'est pas très accessible. "
Compréhension de l'interface,"Interface bien expliquée, mais parfois quelques problèmes, notamment sur la carte (pas très intuitif sur les retour en arrière). 

L'outil reste aussi très sensible aux interactions et certaines cartes ou pop up s'ouvrent sans le vouloirs lorsque l'on interagis avec la carte (-> frustration)

Egalement, lors de l'interface de la carte, l'écran supérieur ne fait qu'indiquer l'ensemble du plan de l'étage actuel et n'amène réellement pas de complément d'information alors qu'il occupe 1/2 de la surface de l'interface globale.","Interface très simple, du menu principale à l'arborescence. Peut-être quelques interrogations sur les choix de section d'arborescence.

La carte comme élément central et suivi de géo-position fonctionne bien même si pas intuitif le changement de niveau. On nous laisse ensuite le choix du parcours en fonction des éléments indiqués sur la carte. 

UX simple et efficace, l'objectif de compréhension par tous est, selon moi, atteint.","L'interface est relativement bien faite mais peux perdre l'utilisateur car elle propose différentes manières d'arriver aux mêmes contenus (plusieurs manières de lancer un audio, de cherche la fiche d'une pièce, etc.)","Interface ultra-simplifiée, compréhensible de tous. ",
Contexte d'utilisation,"Implication visuelle et auditive du visiteur sur l'outil. Nécessité de regarder l'outil, il s'impose dans la visite, dans les intervalles de déplacement entre les œuvres prévues, n'encourage pas à l'exploration individuelle.","Il est conseillé de suivre la proposition de l'application, dans le sens de la circulation, mais on reste très libre. L'application cohabite également avec les tablettes géantes présentes dans les salles pour créer un ecosystème cohérent qui se complète.

Cependant, il nécessite une implication visuelle et auditive du visiteur sur l'outil. Nécessité de regarder l'outil pour choisir les oeuvres à regarder, il s'impose dans la visite, dans les intervalles de déplacement entre les œuvres.",Implication auditive du visiteur sur l'outil. Nécessité de regarder l'outil pour choisir la fiche seulement. La partie de la carte géographique du lieu peut être distrayante.,Liberté d'usage complet car l'utilisateur choisis sur quel cartel il souhaite avoir une information. ,Liberté d'usage complet car l'utilisateur choisis sur quel cartel il souhaite avoir une information. 
Style narratif,"Les contenus audio sont très ""neutres"", le contenu est pédagogique mais le ton reste neutre.","Les contenus audio sont très ""neutres"", le contenu est pédagogique mais le ton reste neutre.","L'audio est animé, la voix off met de l'intonation, il nous raconte une histoire et cela aide à se raccrocher à l'audio, la voix off nous maintient dans son récit avec les intonations, les accroches au concret (indiquer un lien dans la salle) et les indications de mouvement (change de salle, etc.)","Contenus relativements neutres, avec un effort notable de vulgarisation des vocabulaires complexes et/ou des périodes historiques évoquées. ","Les propos sont prononcés avec une certaine intonation, mais sont surtout assez complexe. Le ou la narrateur utilise beaucoup de vocabulaire spécialisé et cela contribue grandement à perdre le visiteur. "
Scénarisation,Il est notable de constater l'absence d'une scénarisation globale. L'expérience consiste en un enchainement de contenus sur les œuvres ou les salles avec comme seul intervalle une interface de carte qui vous indique ou aller pour la suite. Chaque contenu est indépendant des autres.,Il est notable de constater l'absence d'une scénarisation globale dans le discours. L'expérience consiste en un enchainement de contenus sur les œuvres ou les salles.,"Il n'y à pas de trame générale, mais l'audioguide nous imerge dans l'histoire, nous rend spectateur de ce qu'il se passé dans la salle.",Il est notable de constater l'absence d'une scénarisation globale dans le discours. L'expérience consiste en un enchainement de contenus sur les œuvres ou les salles.,Il est notable de constater l'absence d'une scénarisation globale dans le discours. L'expérience consiste en un enchainement de contenus thématiques.
"Quelle est la/les cibles principale de l'audioguide, à qui s'adresse-t-il ?","Principalement les adultes, quel qu'ils soient (accessibilité), il existe également un parcours pour les familles avec des enfants de 8 ans minimum.","Principalement les adultes, francophones, anglophones ou germanophones, il existe également un parcours pour les familles mais qui reste secondaire et moins mis en avant.","Adulte à l'aise avec l'usage de la technologie, et par la narration qui sont relativement jeunes -> entre 16 et 50 ans. Pas de programmes pour les enfants ou pour les personnes âgées / avec un handicap","Principalement les adultes, quel qu'ils soient (accessibilité).","Principalement les adultes, et relativement coutumiers de l'art décoratif, car le propos est spécialisé et le vocabulaire également. "
Qualité de la documentation,"Pas d'informations explicités sur les sources documentaires, les seuls informations de crédit sont les crédit de l'image et de l'intervenant expert (ses titres).","Aucune informations concernant la documentation utilisée, le seul moyen de connaitre ne serait-ce que le nom des conservateurs ou de la voix off est de se rendre dans les mentions légales de l'application.
pas de crédits sur les photos des oeuvres.","Aucune informations concernant la documentation utilisée, aucun crédit, rien. ","Aucune informations concernant la documentation utilisée, aucun crédit, rien. ","Aucune informations concernant la documentation utilisée. 

Certains crédits sont précisés dans la fiche information de l'audioguide."
Comment l'information nous est donnée ?,"Pour les œuvres, une voix off introduit un expert de l'œuvre. Pour les salles, seul la voix off est présente.","L'information nous est transmise uniquement vie une voix off, aussi bien pour les oeuvres que pour les salles",L'information nous est transmise uniquement vie une voix off.,"L'information nous est transmise via un petit texte à lire, ce n'est en fait pas à propremement dit au ""audio""guide mais plus un ""lecto""guide.",L'information nous est transmise uniquement vie une voix off.
Accompagnement du visiteur,"L'audioguide laisse la possibilité à plusieurs parcours de visite au début. 
1. Visite libre 
2. Les incontournables 
3. Les guides thématiques
     -> Chefs d'œuvre 
	 -> Chefs d'œuvre f né amille 
	 -> Langue des signes 
	 -> Audiodescription
	 -> Construire son parcours (choix d'œuvres parmi 5 départements)

Le visiteur reste libre de se déplacé dans le musée comme il le souhaite et reçoit un message lorsqu'il dévie de son parcours prévu qui lui adapte la route à suivre pour reprendre au mieux la visite prévue.",Le visiteur à le choix entre consulter une fiche ou suivre un chemin pour se rendre à la prochaine. Il reste donc accompagné dans une certaines mesure (voir scénographie),"La voix off nous donne des indications d'espace et de ou aller ensuite, le visiteur est accompagné dans sa visite et ne se sent pas perdu.","Le visiteut est laissé complétement libre de ses choix, l'accompagnement est inexistant. ","Le visiteur est laissé complétement libre de ses choix, l'accompagnement est inexistant.

On peut cependant noter une numérotation des audios qui peut induire un parcours, sans jamais l'imposer."
