Horodateur,Êtes-vous ?,Dans quelle tranche d'âge êtes-vous ? ,"Allez-vous au musée ou à une exposition et à quelle fréquence ?
(si ""non"", vous pouvez répondre à cette question et envoyer le questionnaire tel quel)","Dans quel cadre allez-vous voir une exposition ou visiter un musée ?
(plusieurs réponses possibles)","Qu'est-ce qui vous motive / vous donne envie de faire cette sortie ? 
(plusieurs réponses possibles)","Lors de la visite, utilisez-vous un audioguide ?",Pourquoi ? Qu'est-ce qui vous pousse à prendre ou non l'audioguide en plus de la visite ?,"Les audioguides proposent parfois des parcours à thème (œuvres incontournables, enfant, spécial roi de France, spécial œuvres de femmes, etc.), les utilisez-vous ?","Les audioguides ont parfois un écran sur lequel vous pouvez interagir, avec des informations supplémentaires (plan d'une carte, portrait d'un peintre, etc.)",Vous est-il arrivé d'utiliser une application mobile comme audioguide ? ,Que pensez-vous de l'idée de proposer un audioguide sur votre téléphone ?,Pourquoi ?,"Un musée vous propose les deux options, que prenez-vous ?",Pourquoi ?,"S'il existait une application unique qui propose un audioguide pour plusieurs musées ou expositions, seriez-vous prêt à la télécharger et/ou à la garder sur votre téléphone après une visite ?","S'il existait un format podcast d'une visite guidée, un audio de 1h qui vous guide tout au long de la visite et ne nécessite pas d'interaction avec le téléphone, seriez-vous intéressé ?","De même, si un intervenant de ce podcast est une personne que vous connaissez (influenceur, personnalité culturelle connue, etc.) ?",Quel type de contenu audio fonctionne le mieux avec vous ? ,Remarques
07/07/2025 12:46:40,Une femme,18-25,Oui - Environ tous les mois,Avec des amis,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Parfois (40-60% du temps),"Tout dépend du musée : s’il s’agit d’un grand musée comme le Louvre, avec de belles œuvres qui se suffisent à elles mêmes, alors moins besoin de l’audioguide car : du fait du grand nombre d’œuvres, on a souvent juste envie de se balader et de contempler celles qui accroche notre regard. EN revanche, petit musée, petite sélection d’œuvre, on a envie de comprendre ce que l’on voit car sinon la visite se ferait en 1 min et serait trop énigmatique = choix de l’audioguide. Selon moi :)",oui,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Oui,,"Barrière à l’entrée pour personne pas à l’aise avec le numérique, parfois telephone avec un stockage plein, envie de garder sa batterie etc. MAIS quand ces conditions sont bonnes, l’application est beaucoup plus attractive! ",Les applications mobiles,Le Nokia pas esthétique et touché par des milliers de personnes auparavant bon.. mais belle application hyper esthétique et intuitive c’est intéressant. ,Oui,,,,"Archi oui a la dernière question. Le pb de l’appli: devoir en télécharger une à chaque musée. 1 application far qui peut se retrouver dans plusieurs musées, et qui, au delà de la fonction d’audioguide, peut être utile pour apprendre des petites anecdotes ou autre : c’est cool! Je t’aime infiniment "
08/10/2025 15:23:05,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),"C’est mieux de parler avec ses proches sur les œuvres et découvrir avec son propre point de vue, souvent les audio guide sont « barbant »",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,C’est plus ludique et personnel ,Les applications mobiles,,Non,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.","Je ne suis pas très cliente daudioguide bien que je fasse bcp d’expos mais je pense oui que ce qui me pousserai à le faire ce serait l’aspect design et ludique de la chose pouvoir interagir, que ce soit par phase pas une perosnne qui nous ‘tunnel » tout le long avec plein d’information parfois pas toute intéressante et bien expliqué. Je préfère les anecdotes, le storytelling, l’émotion le côté ludique et design "
08/10/2025 15:23:32,Une femme,18-25,"Oui, 1 à 4 fois par an",Avec des amis,"Apprendre / s'instruire, Passer du temps avec vos proches, Vous divertir",A de rares occasions (20-40% du temps),,oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,,Les applications mobiles,,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:25:25,Un homme,18-25,"Oui, 4 à 8 fois par an","Seul, En famille","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Parfois (40-60% du temps),Pour comprendre la langue ou pour avoir une expérience plus immersive,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime bien,,L'audioguide classique,,Oui,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:28:44,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),"J’utilise un audio guide pour des expositions à l’étranger. Mais en France , les légendes suffisent à mon goût :) COUCOU LE G ",non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime beaucoup,"Plus facile sur les démarches, par exemple un QR code c’est cool ( différent d’une application à télécharger car contraignant )",,,Non,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Faudrait qu’on aille se prendre un verre un de ces quatre. Signée : ta camarade de sup de com 
08/10/2025 15:29:01,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis",Contempler et voir de belles oeuvres,A de rares occasions (20-40% du temps),"L’audioguide peut apporter plus de précisions, mais majoritairement je préfère contempler sans (pour expositions photo par exemple) ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,plus de praticité ,Les applications mobiles,"plus pratique, sûrement plus simple de retenir les informations en effectuant captures d’écran ",Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:29:13,Une femme,25-40,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"Pas le réflexe de le prendre, peur que l’explication ne soit pas assez synthétique. ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime beaucoup,Avec les habitudes d’utilisation du téléphone et la facilité qu’ont les gens d’utiliser leur téléphone ça peut être un bon compromis ,Les applications mobiles,Plus à l’aise avec mon téléphone ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:29:51,Une femme,18-25,"Oui, environ tous les mois",Avec des amis,Apprendre / s'instruire,A de rares occasions (20-40% du temps),Le prix ,oui,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime bien,J’aime bien mais je trouve que nous sommes déjà assez sur notre téléphone pour l’être aussi au musée ,Les applications mobiles,Plus pratique quand ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Étant jeune je pense que l’appli pourrait arranger bcp de monde mais pour des personnes plus âgés ça pourrait être plus compliqué à mettre en place 
08/10/2025 15:31:06,Une femme,18-25,"Oui, plusieurs fois par mois","Seul, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"J’aime bien aller à mon propre rythme et lire les cartels des œuvres, sans suivre. Mais ça peut être utile quand c’est un domaine que je ne connais pas ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,Je n'aime pas,"Pas forcément de réseau, de batterie, pas accessible au grand public (handicap, problèmes de vue, personnes âgées) ",L'audioguide classique,Plus intuitif et simple,Non,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Force pour le mémoire 
08/10/2025 15:36:56,Une femme,18-25,"Oui, 4 à 8 fois par an","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,,Les applications mobiles,"plus simple, plus fluide",Non,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
